package_name,download_count
geoql,364
products-eventregistration,364
geobricksgeostatistics,364
django-geohashing,364
glue-geospatial,362
geodex,361
odoo8-addons-oca-stock-logistics-workflow,361
george-nester,360
tgext-geo,359
py-i2c-register,359
pygeopressure,358
django-ubigeo-peru,358
random-geometry-points,357
geojsontools,357
geojson-fixer,356
photos2geojson,356
geocommit,356
simple-registry-api,355
djangorestframework-gis-distance,355
djangocms-gist,354
geocsvlib,354
trytond-gis,353
geoviz,352
jpgeocode,352
get-gisty,352
geocon,351
collective-geo-bundle,350
collective-geo-file,350
django-gis-timezones,349
uk-geo-utils,349
pygeoc,349
gist-generator,348
monitor-register,348
geomepy,347
photo-geotag-restful-api-client-library,347
pytest-pigeonhole,346
geomancer,346
geophotos,346
geoffrey,345
confluent-schema-registry-client,344
convert2geojson,344
simple-geometry,343
diblogeo,343
sv-geometry,343
django-crispy-forms-registration,343
django-geoip-redis,343
geoffrey-pylint,343
colab-wikilegis,341
pygeoid,340
odoo13-addon-geoengine-partner,339
wsgisvc,338
geomap,338
score-geoip,337
odoo11-addon-base-geoengine,336
shapely2geojson,336
pgeorest,336
odoo8-addon-geoengine-sale,336
imageregistration,335
docker-registry-driver-elliptics,334
carregistration,331
pygeostandards,330
hexgridgeo-py,329
geokey-airquality,328
geomate,327
gissip,327
igeopenal,323
geoconvert,320
geoweather,319
pyspatial,319
aegis-data,319
odoo9-addons-oca-stock-logistics-barcode,318
collective-geo-behaviour,318
tfkerassurgeon,317
odoo10-addon-l10n-it-vat-registries-cash-basis,317
interlegis-portalmodelo-buscadores,317
m3-registry,317
gpx2spatialite,316
graphene-gis,315
pyramid-geoip,315
gis-py-distance,314
geode-gem,313
image-registration,313
blogist,311
pyleargist,311
geopathfinder,311
geojson-to-sqlite,311
geomath,310
python-lambda-logistics,309
flashgeotext,308
errorgeopy,308
npm-register-cli,307
geoscilabs,307
pygeo2x,305
odoo10-addon-base-geoengine,305
py-geo-nearby,304
odoo8-addon-website-event-register-free-with-sale,303
geom,301
docker-registry-util,300
osgeo4w-installer,298
georgeiswinner,298
bpsgeodb,297
pigeon-jupyter,297
geonode-arcrest,296
simplegist,295
collective-geo-json,295
python-geometry,294
collective-geo-opensearch,294
simple-arcgis-wrapper,294
postgresql-deepgeo,294
collective-geo-flexitopic,293
flask-pigeon,292
insynsregistret,291
datamountaineer-schemaregistry,291
dankdungeon,290
odoo10-addon-event-registration-mass-mailing,290
registrator,289
pypi-register,289
lolologist,289
django-geoaware,288
geoparsepy,288
pangeobench,287
geocodio,286
flask-geokit,286
cxc-gis,286
geolibs-aiohttp-apispec,285
geolang,285
dreipol-django-fagungis,285
geospatial-learn,285
pivotal-geopy,284
django-smart-autoregister,283
atomiccontributions-jageo,283
interlegis-portalmodelo-transparency,283
safe-geonode,282
openregister-client,281
geoza,281
ipregistry,280
geoformalchemy2,280
gissue,279
odoo8-addon-l10n-it-vat-registries,279
gistit,279
docker-registry-driver-swift,279
geokey-cartodb,278
ncp-geolocation,278
spatial-sites,278
twittergeo,278
printipigeon,277
intake-geopandas,277
geox-statistics,275
geofactory,274
interlegis-intranetmodelo-policy,274
django-geodata,273
sensormapgeo,272
arcgis-layout-manager,272
noderegister,271
pygis,270
pypi-registration-test,269
geotools,268
geocelery,267
github-gist,267
ahogeotagger,267
geovectorslib,267
odoo11-addons-oca-stock-logistics-reporting,266
osgeo-manager,266
django-embed-gist,265
django-geoaxis,265
geonode-qgis-server,264
ladybug-geometry-polyskel,264
domaingistry,264
geo-heatmap,264
geo-places,264
geoclassy,263
geogrids,263
proso-geography-data,263
datasette-leaflet-geojson,263
geokrety-api-models,262
ol-geoip,262
geocode,262
poissongeometry,262
wsgiserialize,261
protopigeon,258
djangocms-geoplaceholder,257
qgis2to3,257
wsgistate,256
lib-registry,256
python-geoip-geolite2-coex,255
geoprobe,254
sphinxcontrib-gist,254
rpm-confluent-schemaregistry,253
pygeoapi,253
geobricksdownloader,253
djangorestframework-registration,252
geomodel,251
flask-registry,251
docker-registry-driver-alioss,251
george-lucas,251
sqlalchemy-geonames,250
dictregister,249
pygeocode,248
geometry-utils,248
geofeed-validator,247
odoo8-addons-oca-stock-logistics-barcode,247
collective-behavior-localregistry,246
django-geowidgets,246
geoffrey-radon,245
django-registration-invite,245
register,245
digisim,244
qgis-plugins-xml,242
